x,y
244,62
248,145
248,170
61,247
240,252
53,250
28,239
241,154
252,94
7,212
238,187
113,245
198,252
10,135
251,110
248,46
84,248
246,205
27,13
40,8
44,26
49,13
65,14
26,27
21,55
89,52
104,14
117,16
132,19
121,43
32,55
40,54
52,57
64,60
94,73
80,76
49,101
90,29
140,44
155,50
162,42
173,47
145,81
143,66
167,18
183,18
200,21
216,17
240,36
217,47
131,87
205,75
199,66
195,45
216,80
207,91
174,83
243,80
226,90
228,33
186,70
77,106
86,106
91,118
78,117
95,131
80,157
74,144
54,159
37,158
36,129
45,125
62,152
63,159
111,131
119,139
136,151
155,112
199,199
228,198
170,202
131,202
105,199
88,204
93,169
106,183
79,178
64,189
50,188
38,186
25,187
248,127
211,237
152,231
127,226
182,226
144,247
76,240
49,223
60,230
36,233
72,216
218,186
64,135
53,145
54,133
24,221
32,198
51,210
62,210
39,213
28,212
24,203
13,188
51,197
185,115
176,130
175,143
142,120
