x,y
185,38
176,21
255,5
253,25
242,65
237,56
229,49
222,54
197,63
173,54
164,48
153,59
156,100
118,91
136,77
99,54
106,51
127,48
122,39
152,28
156,37
136,25
133,35
100,18
73,8
115,6
70,56
60,55
43,51
40,75
40,60
29,61
23,92
12,85
17,71
28,79
48,103
8,128
61,92
72,80
90,76
53,115
60,126
69,135
60,150
122,142
83,153
47,147
26,139
14,144
31,148
42,140
35,132
18,181
45,190
87,237
85,245
87,252
114,251
135,239
12,224
4,255
161,233
152,181
125,173
133,164
146,150
161,152
178,148
173,138
164,168
237,119
242,139
222,255
197,214
187,177
168,189
177,194
196,189
184,222
179,186
185,251
187,240
171,243
171,234
171,226
218,233
205,249
201,240
196,228
223,215
232,200
249,192
236,189
212,196
215,186
205,178
242,179
249,172
215,165
224,180
231,163
232,146
