x,y
4,207
12,204
6,192
8,175
30,162
41,160
34,179
34,194
29,206
37,206
74,228
75,254
60,207
72,206
64,190
64,179
67,161
89,159
95,173
87,185
100,199
90,207
110,225
100,244
157,239
167,240
153,251
183,246
202,235
206,251
253,248
208,187
210,205
208,163
206,147
206,123
251,119
135,158
123,160
129,176
129,186
126,203
139,204
165,96
147,93
127,95
105,93
68,96
96,96
77,51
56,54
40,53
21,53
8,54
15,28
31,28
56,27
65,24
81,6
33,7
97,26
133,37
198,10
156,47
173,46
127,224
95,224
43,226
10,225
190,216
178,216
161,214
182,233
