x,y
201,178
137,50
110,27
113,50
163,51
183,241
66,159
43,244
39,117
92,55
190,50
202,26
207,244
60,99
13,22
18,34
4,65
61,13
85,22
76,23
73,28
99,21
156,23
136,22
175,22
191,18
212,14
251,25
76,63
63,73
104,60
75,168
34,136
23,102
106,182
186,177
174,157
221,157
223,179
20,191
21,183
32,184
56,244
63,234
89,244
77,252
112,248
123,247
44,252
133,163
127,187
149,198
160,201
176,199
172,208
119,58
96,68
223,237
16,217
183,107
133,131
78,155
111,172
123,172
118,213
239,137
207,124
189,162
113,105
162,117
157,117
154,117
150,118
144,117
16,3
