x,y
249,244
247,142
198,142
249,193
253,223
249,236
215,143
251,66
251,28
248,92
251,202
249,227
252,186
250,136
251,41
237,143
250,181
249,216
252,84
8,72
13,87
14,103
21,122
19,129
13,150
15,179
4,174
38,173
31,183
62,129
74,174
86,175
99,174
94,185
97,200
93,211
132,175
118,178
166,123
99,228
119,220
231,250
234,243
241,243
54,76
99,116
92,101
93,90
93,82
248,19
240,15
225,17
203,19
190,14
180,19
168,19
171,15
132,4
128,11
117,13
108,9
100,9
93,11
84,10
68,9
24,13
100,25
135,78
28,118
248,174
193,176
188,250
182,162
190,186
32,216
13,216
12,223
60,205
46,204
154,13
143,14
252,59
0,10
162,220
2,246
14,252
217,175
167,68
182,70
189,69
191,78
41,14
124,181
125,200
127,238
126,251
126,191
126,186
