x,y
9,7
34,27
44,35
32,40
78,55
22,63
58,61
33,64
26,70
68,3
70,9
78,86
39,84
6,92
36,109
49,110
41,119
120,63
157,102
161,60
120,8
226,45
231,74
192,18
182,7
207,10
220,10
204,39
142,76
144,92
159,85
145,59
141,125
158,124
157,131
141,108
175,116
219,38
186,37
104,8
229,118
222,128
224,135
228,146
199,127
190,105
211,103
183,143
170,144
139,148
180,130
110,125
8,203
7,189
5,176
66,166
118,126
171,199
174,193
195,187
187,153
212,158
215,130
221,145
228,160
204,186
214,190
222,190
255,182
137,173
117,181
49,166
112,249
68,252
158,238
140,230
110,230
219,253
255,246
