x,y
179,118
15,220
241,120
181,9
242,247
238,251
182,71
180,44
155,117
114,115
57,115
4,76
11,76
26,75
47,74
70,75
148,77
19,112
7,241
88,250
83,237
107,241
135,250
54,250
111,215
1,221
187,174
177,173
161,167
164,237
176,233
190,216
228,202
217,199
214,185
212,173
106,182
92,180
182,252
196,200
204,196
9,2
2,34
25,170
39,161
57,168
62,168
67,169
88,170
103,162
111,169
118,168
124,168
138,170
148,170
203,140
205,131
205,125
231,127
240,130
234,17
236,25
228,12
170,242
181,241
191,226
199,223
20,126
