x,y
121,174
174,187
183,184
170,199
171,211
127,179
185,207
182,221
181,235
181,250
181,117
174,149
162,151
215,140
124,150
37,246
32,189
35,164
134,246
201,188
220,180
242,156
245,170
248,185
86,15
86,10
85,3
11,230
36,224
61,217
69,248
94,211
114,44
237,8
213,46
205,46
241,70
214,95
240,87
252,95
148,57
148,83
166,145
145,112
240,128
178,85
178,104
182,96
213,84
186,51
157,36
163,33
199,202
218,198
201,221
200,239
234,227
234,217
193,85
181,88
31,102
36,98
34,177
3,177
105,21
114,20
215,33
213,53
213,72
148,70
178,26
187,23
152,32
79,126
112,190
112,202
91,157
102,168
110,173
182,153
216,158
179,164
181,174
178,140
181,127
146,120
136,137
240,143
64,132
38,190
2,231
