x,y
38,69
56,84
197,194
120,84
123,81
166,78
178,78
222,100
226,99
78,95
99,112
118,129
236,224
218,209
218,251
201,237
187,224
171,212
156,199
139,188
108,161
92,149
75,137
123,173
124,185
237,16
247,19
215,38
225,37
232,32
230,10
230,4
225,3
195,16
203,17
182,2
237,60
222,62
218,67
197,72
191,56
203,56
213,52
226,50
240,50
165,48
142,11
144,19
162,8
131,36
129,43
135,46
150,39
152,45
144,28
122,50
104,48
96,48
87,50
78,39
82,31
82,10
73,11
64,32
61,37
55,27
34,12
163,69
43,111
27,98
12,85
60,127
