x,y
94,39
95,13
98,56
103,211
150,98
95,95
84,98
168,82
97,76
201,83
76,132
77,160
68,153
95,147
99,138
96,180
153,144
161,136
187,135
183,150
181,167
96,253
83,236
150,241
157,236
159,242
171,236
179,236
187,237
203,184
155,198
160,181
159,189
178,189
187,189
202,235
179,254
195,183
199,191
212,189
228,190
246,159
243,168
222,142
230,234
237,234
247,234
252,234
242,222
241,212
234,182
62,17
43,9
25,33
24,14
34,61
53,64
65,95
29,136
46,136
68,132
48,143
54,154
61,149
69,165
35,170
46,161
7,134
60,179
62,186
25,235
64,238
16,252
251,36
244,35
241,15
223,3
148,52
158,58
149,73
186,36
199,65
167,38
167,10
146,22
161,9
144,26
199,44
193,56
181,62
232,63
237,57
198,73
152,33
146,5
146,9
245,12
146,183
155,167
154,163
209,234
75,237
52,196
45,53
49,58
146,56
146,61
235,19
207,168
238,204
198,212
155,218
152,213
