x,y
107,228
120,218
126,210
166,201
170,194
185,224
250,145
240,228
229,212
247,197
211,225
220,244
200,245
232,251
104,187
101,179
102,238
114,203
121,199
124,196
128,195
102,213
34,187
29,190
34,196
28,202
30,204
16,199
24,194
37,203
50,196
53,183
53,173
58,170
42,183
58,190
63,186
58,179
64,176
72,173
88,158
95,155
83,165
72,165
93,147
87,152
44,199
65,227
54,234
47,240
54,245
61,231
66,239
72,234
83,227
86,224
92,218
79,228
86,243
99,231
100,143
10,87
19,101
10,141
138,42
110,53
94,38
58,50
68,45
32,31
14,46
5,54
5,69
19,57
27,66
30,61
19,72
227,49
175,84
138,111
198,69
156,30
177,14
210,14
198,169
95,96
56,124
78,109
