x,y
220,251
191,249
185,246
206,227
181,216
176,203
125,177
107,163
115,156
238,242
176,141
213,99
110,107
107,134
224,111
236,87
187,110
7,42
33,56
44,36
162,20
139,12
123,19
127,24
140,33
147,42
187,16
239,32
249,55
160,61
121,69
132,76
100,72
102,82
85,88
89,115
56,113
74,141
83,181
56,162
51,165
62,156
44,173
26,194
36,213
65,220
58,235
2,131
206,11
230,69
243,186
228,173
226,228
76,209
154,166
160,167
158,173
134,197
107,196
158,197
8,212
45,75
106,49
177,92
208,142
216,153
216,160
150,95
160,116
151,120
144,117
145,125
228,7
215,47
231,37
228,42
223,44
40,51
13,94
98,179
175,227
150,199
149,195
97,213
3,201
68,152
2,100
34,79
77,90
94,87
