x,y
183,55
212,241
46,182
195,16
217,211
126,67
37,170
42,224
81,224
139,81
39,150
80,100
17,192
168,244
116,100
195,254
96,242
141,50
59,110
198,223
247,14
33,211
41,121
240,230
94,85
104,252
62,201
66,136
26,132
69,255
157,70
68,208
154,253
95,116
208,38
222,30
181,28
160,42
111,70
78,41
7,84
17,10
115,194
94,221
83,171
94,169
103,157
108,160
110,156
109,153
117,151
121,155
127,156
133,158
130,163
125,159
121,169
122,172
125,177
127,179
131,177
134,175
136,175
139,172
143,170
146,168
149,164
151,162
155,159
150,156
145,153
140,149
155,168
120,199
108,198
76,179
185,147
197,129
202,122
194,160
201,161
252,190
251,224
248,238
253,242
246,245
203,253
129,247
121,235
117,229
123,216
115,221
33,232
43,244
50,251
14,25
20,31
23,38
21,65
16,67
27,73
21,79
22,58
18,53
49,32
55,41
64,23
81,13
78,15
83,21
99,8
217,11
