x,y
2,174
127,95
171,182
161,247
210,65
229,51
100,137
89,251
128,29
102,27
186,200
90,15
174,235
65,191
94,226
68,161
23,174
115,44
155,193
223,245
156,63
90,146
245,207
146,152
226,198
47,200
144,48
95,141
13,131
79,234
137,32
147,22
209,28
230,19
220,5
136,242
80,205
119,214
137,191
86,85
29,17
38,42
21,55
190,191
195,200
236,153
241,165
226,218
129,120
139,115
144,112
147,105
80,127
56,147
162,201
173,214
139,78
180,52
236,98
249,129
224,49
231,44
68,16
25,149
105,3
198,206
68,138
72,136
59,169
251,45
28,135
17,119
136,178
144,187
188,175
195,169
206,163
210,167
252,14
187,149
46,244
72,231
11,124
200,117
207,120
211,126
214,137
