x,y
7,31
10,40
32,10
36,26
35,37
63,34
59,35
100,17
100,54
104,79
73,81
55,79
62,62
41,82
17,72
23,86
76,109
90,107
97,107
107,107
105,114
135,111
56,113
37,120
6,118
19,184
40,183
27,172
96,181
107,174
104,156
104,137
101,134
104,132
146,32
152,47
131,51
150,64
152,79
169,83
194,87
185,64
209,54
222,31
251,13
247,16
250,24
248,40
236,111
217,114
226,99
246,126
247,138
253,152
255,109
229,130
226,148
182,143
204,110
188,109
175,107
161,111
126,176
119,185
174,189
134,207
140,223
155,225
154,231
171,231
178,231
184,230
191,231
198,231
204,231
254,231
241,230
247,206
255,180
229,170
247,157
208,181
245,87
34,218
28,203
49,214
68,206
77,200
98,200
116,210
119,224
118,244
163,247
194,246
202,237
237,245
68,244
46,202
137,178
249,64
222,14
