x,y
80,18
229,126
1,229
1,132
28,213
27,130
242,149
27,172
6,252
0,171
247,70
190,117
27,155
31,87
33,239
211,115
222,154
237,176
247,189
216,177
216,190
186,138
164,121
245,175
173,171
239,225
123,169
136,204
169,238
122,199
112,185
108,199
105,225
152,176
42,78
36,96
34,106
3,81
88,87
96,98
96,88
139,71
150,68
15,30
15,47
27,44
108,11
60,26
77,42
235,28
168,7
159,17
194,23
192,10
191,242
244,237
143,160
143,144
132,176
138,177
153,185
87,185
100,174
70,190
63,177
81,136
144,19
32,180
0,196
56,222
41,225
67,220
75,220
69,82
39,38
26,198
29,194
197,49
223,62
213,53
217,55
218,74
