x,y
236,89
62,85
189,51
189,9
189,252
189,36
188,187
189,75
188,132
105,117
219,241
251,89
10,189
220,10
138,87
221,42
188,64
130,116
117,116
87,116
190,19
13,148
74,116
187,232
188,149
186,167
221,64
236,30
250,35
217,23
85,85
70,84
91,86
159,85
172,85
173,112
11,234
24,227
20,233
13,43
14,39
14,29
16,20
16,13
14,6
233,44
224,55
226,61
248,44
251,40
252,64
251,71
226,68
217,11
222,25
225,29
217,36
187,48
169,28
161,28
22,171
22,186
21,196
141,254
126,255
179,245
231,248
180,204
179,191
179,161
177,176
178,149
179,134
