x,y
105,253
86,230
75,236
75,242
148,245
140,236
150,221
111,190
252,218
252,208
249,190
250,233
209,214
217,214
204,177
213,192
218,192
211,241
211,247
216,245
214,234
218,227
115,173
80,94
90,81
121,75
146,92
170,97
185,96
126,134
150,137
172,140
170,152
191,132
197,133
211,131
86,128
103,166
27,187
39,188
29,179
20,179
8,188
8,201
8,245
50,240
73,195
73,206
73,220
34,122
48,132
51,128
14,124
38,54
39,65
33,41
64,48
69,48
87,68
90,51
114,34
132,43
75,13
86,14
47,16
159,36
179,11
216,8
168,19
167,25
168,30
168,42
170,52
177,54
211,32
