x,y
149,219
231,253
170,231
160,199
179,169
176,182
201,148
190,166
208,139
217,121
222,110
231,98
237,80
203,236
210,242
218,242
237,165
248,82
189,86
206,89
202,96
192,116
186,124
172,140
168,147
160,139
157,168
152,174
147,165
129,155
115,148
101,168
86,161
86,134
113,110
134,124
159,103
144,94
177,111
141,57
115,78
114,41
105,33
101,39
90,58
85,65
96,67
86,92
75,84
70,92
59,112
56,120
65,120
24,129
32,109
45,85
56,67
72,31
84,11
97,2
87,0
138,17
158,35
172,44
192,47
202,53
214,59
136,4
153,16
191,35
209,45
45,34
52,11
33,50
22,71
17,36
25,20
7,50
35,4
35,4
250,43
243,31
248,19
252,13
34,143
47,150
59,158
113,188
134,200
141,204
