x,y
105,121
117,141
173,57
198,33
127,133
209,56
161,67
141,119
143,85
121,105
17,94
88,126
59,100
35,114
199,247
106,190
91,173
125,173
32,74
157,241
70,151
114,162
142,225
124,205
220,176
240,179
74,102
119,59
128,49
147,179
155,94
176,75
193,62
176,20
189,6
151,20
68,23
80,29
210,4
231,28
245,35
249,46
231,3
247,9
245,66
228,47
233,64
147,58
139,73
33,204
38,4
94,17
97,21
86,41
86,47
83,48
91,40
110,24
100,29
97,33
89,116
137,42
114,38
120,42
144,38
151,32
46,128
27,130
4,81
11,51
17,61
54,133
40,132
30,137
43,140
54,146
44,153
49,150
51,161
142,163
89,196
99,214
72,172
58,169
114,189
18,196
28,244
36,252
158,207
179,105
233,158
238,151
252,169
235,203
240,198
250,189
204,230
243,60
221,136
215,140
